Name,UID,Condensate Type,Species Tax Id,Proteins,DNA,RNA,C-mods,Condensatopathy,Confidence Score
"53BP1 Mitotic Stress Body (MSBs)","E12AB6E0","biomolecular","9606","3","Yes","No","No","No","4"
"ABC transporter condensate","F227C2BF","biomolecular","246196","1","No","No","No","No","5"
"ABC transporter condensate","7C7190F1","biomolecular","83332","1","No","No","No","No","5"
"A-bodies","6A1B29D1","biomolecular","9606","2","No","Yes","Yes","Yes","4"
"Actin nucleator","2F083DFF","biomolecular","9606","1","No","No","No","No","3"
"Aggresome","3A3AD14F","biomolecular","83333","6","No","No","No","No","5"
"Als5p amyloid","0971622F","biomolecular","237561","1","No","No","No","No","5"
"ALYREF condensates","1AE015A9","biomolecular","9606","1","No","No","Yes","Yes","5"
"Anisosome","BEB5E62D","biomolecular","9606","6","No","No","Yes","No","4"
"Ankle Link Complex (ALC) Condensate","F80F25AF","biomolecular","10090","3","No","No","No","No","5"
"ArgBP2 dendritic spine condensate","4DFA2D97","biomolecular","9606","1","No","No","No","No","4"
"Arsenite-induced Necrosome","1C395EBB","biomolecular","10090","4","No","No","No","No","4"
"Arsenite-induced Necrosome","507A56A0","biomolecular","9606","3","No","Yes","No","No","4"
"Assemblysome","70C83BD2","biomolecular","9606","1","No","Yes","No","No","4"
"ATG4B condensate","BE404912","biomolecular","9606","1","No","Yes","Yes","Yes","4"
"ATG condensate","4F15E4D1","biomolecular","559292","5","No","No","No","No","5"
"BAG2","4E66F2E3","biomolecular","9606","1","No","No","No","No","4"
"Balbiani body","2B1872D5","biomolecular","9606","3","No","No","No","No","4"
"Balbiani body","DD98A56E","biomolecular","7955","11","No","Yes","No","No","5"
"BAZ2A bodies","7EC836B8","biomolecular","10090","1","Yes","Yes","No","No","5"
"Beta-Catenin Destruction Complex","7FF4107C","biomolecular","9606","6","No","No","No","No","4"
"Birc5b assembly","6EB88474","biomolecular","7955","1","No","Yes","No","No","5"
"BMP2K condensate","AF4EAC9D","biomolecular","9606","1","No","No","No","No","4"
"BR-body","AE6B9C0B","biomolecular","266834","1","No","Yes","No","No","5"
"BR-body","30A41936","biomolecular","224308","1","No","No","No","No","5"
"BR-body","D9D495C7","biomolecular","358","1","No","Yes","No","No","5"
"BR-body","EF55C906","biomolecular","190650","7","No","Yes","No","No","2"
"BR-body","C929E7F0","biomolecular","544406","3","No","Yes","No","No","5"
"BR-body","F499BD52","biomolecular","1111708","1","No","Yes","No","No","5"
"BRD4 condensate","634C353E","biomolecular","9606","3","No","Yes","Yes","No","4"
"Cajal body","21DC7D43","biomolecular","7227","2","No","Yes","No","No","5"
"Cajal body","26FE9D3B","biomolecular","7955","2","No","Yes","No","No","5"
"Cajal body","6F24707C","biomolecular","9606","76","No","Yes","Yes","Yes","1"
"Cajal body","8BEB9125","biomolecular","10090","8","No","Yes","No","No","3"
"Cajal body","7EEC7AD8","biomolecular","10116","2","No","No","No","No","4"
"Carboxysome","D5B33633","biomolecular","1140","1","No","No","No","No","5"
"cBAF condensate","4749EA78","biomolecular","9606","4","Yes","No","No","No","3"
"Ccer1 condensate","AEAC39F1","biomolecular","10090","2","Yes","No","No","No","4"
"CCR4-NOT1 complex","5F357AD4","biomolecular","39947","1","No","No","No","No","5"
"CEBPZ condensates","904EB3AA","biomolecular","9606","3","No","No","Yes","Yes","3"
"Centrosome","09A0EAB5","biomolecular","8364","1","No","No","No","No","1"
"Centrosome","876000F7","biomolecular","559292","88","No","No","No","No","1"
"Centrosome","576F0A76","biomolecular","284812","48","No","No","No","No","1"
"Centrosome","7B3AF3B0","biomolecular","8355","4","No","Yes","No","No","2"
"Centrosome","2838EF58","biomolecular","7227","70","No","Yes","No","No","1"
"Centrosome","33FCD62D","biomolecular","3702","35","No","No","No","No","1"
"Centrosome","8C2F96ED","biomolecular","9606","552","No","Yes","No","No","1"
"Centrosome","1E117272","biomolecular","6239","30","No","Yes","No","No","1"
"Centrosome","01CA17F3","biomolecular","10090","137","No","Yes","No","No","1"
"cGAS foci","394AC681","biomolecular","10090","1","Yes","No","No","No","1"
"cGAS foci","1A0B17A6","biomolecular","9606","3","Yes","No","Yes","No","1"
"Chloroplast Stress granule","34B41364","biomolecular","3055","1","No","Yes","No","No","5"
"Chloroplast Stress granule","4F8E82B6","biomolecular","3702","5","No","Yes","No","No","5"
"Chromatoid body","278829DE","biomolecular","9606","5","No","No","No","No","1"
"Chromatoid body","DE1E139C","biomolecular","10090","85","No","Yes","No","No","1"
"Chromatoid body","246D7041","biomolecular","10116","19","No","Yes","No","No","1"
"Chromogranin condensates","2ECFBB9C","biomolecular","9606","1","No","No","No","No","4"
"Chromogranin condensates","ED8FE918","biomolecular","10116","1","No","No","No","No","4"
"Chromogranin condensates","A6D16FCC","biomolecular","10090","1","No","No","No","No","4"
"Cleavage body","6F9FB6EF","biomolecular","9606","3","No","No","No","No","4"
"Cobl condensate","7B858B7A","biomolecular","10090","1","No","No","No","No","4"
"Cojusome","AC60E16F","biomolecular","5911","1","No","No","No","No","4"
"Contractile ring condensate","5B76C479","biomolecular","284812","1","No","No","No","No","3"
