uniprotkb_ac,condensate_id,condensate_name
Q92804,462A97B5,Leucocyte nuclear body
O43791,462A97B5,Leucocyte nuclear body
Q14781,B57B8AD8,Heterochromatin
O62011,60DC040A,MUTator foci
O74718,89D152D3,Sup35 condensate
Q9UKV8,C5843A5F,miRISC condensate
P03520,0E37FC39,Cytoplasmic viral factory
P26568,8F2F7B5C,Heterochromatin
P08287,9638259C,Euchromatin
Q16082,462A97B5,Leucocyte nuclear body
P0A9A6,E92D4409,FtsZ condensate
Q92804,38EC0B30,Transcriptional condensate
P26569,8F2F7B5C,Heterochromatin
A0A0B4K7A6,34A76419,Nucleolus
Q9W1V3,34A76419,Nucleolus
Q9VD51,34A76419,Nucleolus
Q8MT06,34A76419,Nucleolus
Q14149,353F5E6C,MORC3 nuclear body
Q22053,BCA0D336,Dense fibrillar component
Q02794,CE67A724,Cytoplasmic protein granule
P14866,62EA6512,Sam68 nuclear body
Q04726,62EA6512,Sam68 nuclear body
Q00613,38EC0B30,Transcriptional condensate
Q01860,38EC0B30,Transcriptional condensate
P23771,38EC0B30,Transcriptional condensate
Q9GZV5,38EC0B30,Transcriptional condensate
P50750,38EC0B30,Transcriptional condensate
P08047,38EC0B30,Transcriptional condensate
B1PRL2,38EC0B30,Transcriptional condensate
P35222,38EC0B30,Transcriptional condensate
P31271,38EC0B30,Transcriptional condensate
Q15059,38EC0B30,Transcriptional condensate
Q15648,38EC0B30,Transcriptional condensate
Q01844,38EC0B30,Transcriptional condensate
Q13950,38EC0B30,Transcriptional condensate
P20226,38EC0B30,Transcriptional condensate
P35453,38EC0B30,Transcriptional condensate
Q13627,38EC0B30,Transcriptional condensate
P40763,38EC0B30,Transcriptional condensate
Q9Y2X0,38EC0B30,Transcriptional condensate
O60885,38EC0B30,Transcriptional condensate
P03372,38EC0B30,Transcriptional condensate
Q16236,38EC0B30,Transcriptional condensate
Q16198,38EC0B30,Transcriptional condensate
Q15561,38EC0B30,Transcriptional condensate
Q02794,504CA153,STD1 body
Q16082,9F779CC8,Nuclear body
Q8NDV7,9DBB3093,GW-body
P38996,21740CDC,NAB3 nuclear body
P16554,6E61CE74,Numb/Pon condensate
P22363,886620B0,Negri body
Q5JVS0,462A97B5,Leucocyte nuclear body
Q7Z3E1,462A97B5,Leucocyte nuclear body
Q13342,462A97B5,Leucocyte nuclear body
P23771,462A97B5,Leucocyte nuclear body
P08621,462A97B5,Leucocyte nuclear body
Q12888,462A97B5,Leucocyte nuclear body
Q9UER7,462A97B5,Leucocyte nuclear body
P02545,462A97B5,Leucocyte nuclear body
Q14103,462A97B5,Leucocyte nuclear body
Q15648,462A97B5,Leucocyte nuclear body
Q01844,462A97B5,Leucocyte nuclear body
O60885,462A97B5,Leucocyte nuclear body
Q12988,462A97B5,Leucocyte nuclear body
P43243,462A97B5,Leucocyte nuclear body
P09651,462A97B5,Leucocyte nuclear body
P06401,462A97B5,Leucocyte nuclear body
Q7YU08,4663B525,Nuclear body
Q9W1V3,4663B525,Nuclear body
Q9VBP3,E61E225E,Stress granule
P0A9A6,D447D79E,FtsZ/SlmA body
Q7JXA2,E61E225E,Stress granule
Q500V5,8F2F7B5C,Heterochromatin
P91349,E72E7219,Pericentriolar matrix
Q8L3W1,9BAE09A1,VRN1 nuclear body
P35972,54D84D15,Viral factory
A1Z813,C0C3C39E,Sec-body
Q14151,62EA6512,Sam68 nuclear body
P09651,62EA6512,Sam68 nuclear body
Q14103,62EA6512,Sam68 nuclear body
Q07666,62EA6512,Sam68 nuclear body
P61978,62EA6512,Sam68 nuclear body
Q9BXY0,62EA6512,Sam68 nuclear body
Q96MU7,62EA6512,Sam68 nuclear body
P38159,62EA6512,Sam68 nuclear body
Q15424,62EA6512,Sam68 nuclear body
Q5VWX1,62EA6512,Sam68 nuclear body
Q8NEJ9,62EA6512,Sam68 nuclear body
Q22053,3743B201,Nucleolus
P35974,54D84D15,Viral factory
Q9UPQ9,9DBB3093,GW-body
Q9W4I7,444FFC0C,Cytoplasmic protein granule
P91870,E72E7219,Pericentriolar matrix
G5EDE7,E72E7219,Pericentriolar matrix
Q8SWR8,B0349C78,Neuronal RNP granule
Q8JXF6,886620B0,Negri body
P34761,F0168FE2,WHI3 cluster
Q9VNF8,C0C3C39E,Sec-body
P03521,0E37FC39,Cytoplasmic viral factory
Q03940,CE67A724,Cytoplasmic protein granule
P05453,F3106323,Sup35 condensate
O62275,060EE9EF,Z-granule
P46937,38EC0B30,Transcriptional condensate
P84022,38EC0B30,Transcriptional condensate
Q9P2E3,86762C76,ZNFX1 condensate
Q9N3P1,060EE9EF,Z-granule
Q07352,ACCC2039,TIS granule
Q7ZXV8,0F39F0A3,Spindle matrix
P20028,34A76419,Nucleolus
Q7KTV5,34A76419,Nucleolus
P15502,BB244C6C,Elastin granule
Q9W4I7,6E61CE74,Numb/Pon condensate
P03523,0E37FC39,Cytoplasmic viral factory
Q9UPQ9,C5843A5F,miRISC condensate
P62993,36896B46,T-cell signalosome
Q07889,36896B46,T-cell signalosome
O43561,36896B46,T-cell signalosome
P05067,9F779CC8,Nuclear body
Q9UKV8,9DBB3093,GW-body
Q8SWR8,E61E225E,Stress granule
Q5BI67,C0C3C39E,Sec-body
M9PF20,E61E225E,Stress granule
Q9BJZ5,E61E225E,Stress granule
M9NFQ7,E61E225E,Stress granule
M9NFQ7,34A76419,Nucleolus
A0QSY1,F227C2BF,ABC transporter condensate
P45973,B57B8AD8,Heterochromatin
Q13501,718A9EC3,P62 body
Q54VP4,26D57712,HSP condensate
P16554,444FFC0C,Cytoplasmic protein granule
P78953,5B76C479,Contractile ring condensate
P0C093,D447D79E,FtsZ/SlmA body
P04050,0CC02154,RNA polymerase clusters
Q8N163,62EA6512,Sam68 nuclear body
Q4ACU6,50C2EE40,Presynaptic clusters
P33240,6F9FB6EF,Cleavage body
Q9XW17,D6EADA8A,RNP granule
O94752,0808F6DD,P-body
P40383,0808F6DD,P-body
O13310,0808F6DD,P-body
Q09181,0808F6DD,P-body
O42958,0808F6DD,P-body
O13828,0808F6DD,P-body
O74454,0808F6DD,P-body
Q09737,0808F6DD,P-body
P10636,03D56D03,Tau Condensate
Q9D415,50C2EE40,Presynaptic clusters
Q8IUD2,F345034F,Signaling cluster
Q23972,1DA11FFF,Germ granule
Q96J94,278829DE,Chromatoid body
Q53GS7,D6A53B8E,Nuclear pore complex
Q92621,D6A53B8E,Nuclear pore complex
Q9VUU4,A6E1D014,P-body
P33240,5B6CCA73,DDX1 body
Q9A8N4,EF55C906,BR-body
O65934,7C7190F1,ABC transporter condensate
Q9UBU9,38EC0B30,Transcriptional condensate
Q8WVC0,38EC0B30,Transcriptional condensate
Q9Y5Q8,38EC0B30,Transcriptional condensate
Q8WUA4,38EC0B30,Transcriptional condensate
P23246,38EC0B30,Transcriptional condensate
Q15233,38EC0B30,Transcriptional condensate
Q6ZN04,CA00D4B7,MEX3B granule
Q9Z1W9,62836ADF,WNK body
P35979,62836ADF,WNK body
O75817,B75B0A5E,SMN-Rpp20 complex
Q7SXI8,7137E280,Histone Locus Body
Q8TC44,03D56D03,Tau Condensate
P63104,03D56D03,Tau Condensate
P05205,1CF1AEDA,Heterochromatin
Q96EP5,2B1872D5,Balbiani body
Q80UE6,62836ADF,WNK body
Q9VVX0,A086309B,U-body
R4GEN3,DD98A56E,Balbiani body
A0A0R4IAW9,DD98A56E,Balbiani body
P48837,691A1FB1,Nuclear pore complex
Q02629,691A1FB1,Nuclear pore complex
Q9NQI0,45FBF2D1,Nuage
Q9WVG6,81B83C9C,Paraspeckle
Q92499,5B6CCA73,DDX1 body
H2L067,D6EADA8A,RNP granule
P83741,62836ADF,WNK body
Q8NAV1,38EC0B30,Transcriptional condensate
O75643,38EC0B30,Transcriptional condensate
Q95YF3,D6EADA8A,RNP granule
Q9H6R0,975B8A70,Inflammasome
Q9A805,EF55C906,BR-body
Q91398,DD98A56E,Balbiani body
Q9VEN9,A6E1D014,P-body
Q24009,A6E1D014,P-body
Q02748,A6E1D014,P-body
P23128,A6E1D014,P-body
Q8IH18,A6E1D014,P-body
A0A0B4LEZ3,A6E1D014,P-body
E1JJR3,A6E1D014,P-body
Q7KY08,A6E1D014,P-body
Q9VMA3,A6E1D014,P-body
Q5U127,A6E1D014,P-body
Q9W1H5,A6E1D014,P-body
Q9VCN7,A6E1D014,P-body
Q8SY33,A6E1D014,P-body
M9NFQ7,A6E1D014,P-body
M9PF20,A6E1D014,P-body
O76922,A6E1D014,P-body
Q9BW27,D6A53B8E,Nuclear pore complex
P09052,1DA11FFF,Germ granule
P25158,1DA11FFF,Germ granule
Q6ZRY4,2B1872D5,Balbiani body
Q92499,6F9FB6EF,Cleavage body
P52948,D6A53B8E,Nuclear pore complex
A8CG34,D6A53B8E,Nuclear pore complex
Q8WYP5,D6A53B8E,Nuclear pore complex
Q14764,D6A53B8E,Nuclear pore complex
Q9NR21,D6A53B8E,Nuclear pore complex
Q96HA1,D6A53B8E,Nuclear pore complex
P55735,D6A53B8E,Nuclear pore complex
O60318,D6A53B8E,Nuclear pore complex
Q9NPA8,D6A53B8E,Nuclear pore complex
Q9NRG9,D6A53B8E,Nuclear pore complex
Q9BXS6,D6A53B8E,Nuclear pore complex
P49792,D6A53B8E,Nuclear pore complex
P57740,D6A53B8E,Nuclear pore complex
P12270,D6A53B8E,Nuclear pore complex
P49790,D6A53B8E,Nuclear pore complex
Q12769,D6A53B8E,Nuclear pore complex
Q9UKX7,D6A53B8E,Nuclear pore complex
Q8WUM0,D6A53B8E,Nuclear pore complex
Q8TD16,D6A53B8E,Nuclear pore complex
Q9HC62,D6A53B8E,Nuclear pore complex
P49687,691A1FB1,Nuclear pore complex
P14907,691A1FB1,Nuclear pore complex
Q02199,691A1FB1,Nuclear pore complex
Q92345,0808F6DD,P-body
Q9P805,0808F6DD,P-body
J3QQ18,50C2EE40,Presynaptic clusters
Q8UVX0,DD98A56E,Balbiani body
F1R237,DD98A56E,Balbiani body
A0A2R8QD37,DD98A56E,Balbiani body
H0WFA5,DD98A56E,Balbiani body
Q7ZUL7,DD98A56E,Balbiani body
Q6DH13,DD98A56E,Balbiani body
F1RA35,DD98A56E,Balbiani body
O00401,F345034F,Signaling cluster
Q8WV28,F345034F,Signaling cluster
O74874,0808F6DD,P-body
Q9VVI2,A6E1D014,P-body
Q9A211,EF55C906,BR-body
Q9A7H8,EF55C906,BR-body
Q9A341,EF55C906,BR-body
Q5A791,35EAEEF6,Stress granule
D8V196,E0732220,CPEB4 granule
Q9P2I0,6F9FB6EF,Cleavage body
Q6P158,38EC0B30,Transcriptional condensate
O75791,F345034F,Signaling cluster
Q08881,F345034F,Signaling cluster
Q13094,F345034F,Signaling cluster
Q96B97,F345034F,Signaling cluster
Q6PIF6,F345034F,Signaling cluster
Q14432,F345034F,Signaling cluster
Q13136,F345034F,Signaling cluster
O43561,F345034F,Signaling cluster
P18031,F345034F,Signaling cluster
Q86SQ0,F345034F,Signaling cluster
Q495M9,F345034F,Signaling cluster
Q9Y2X7,F345034F,Signaling cluster
Q75E28,F05969EF,Stress granule
P23128,1DA11FFF,Germ granule
P91941,A6E1D014,P-body
P35637,1CD3856C,Synthetic Condensate 000003
G5EFT5,9DA71F79,Stress granule
P16333,1CD3856C,Synthetic Condensate 000003
Q13487,A0DCDA94,DNA damage foci
Q5SXM2,A0DCDA94,DNA damage foci
P20226,A0DCDA94,DNA damage foci
Q99873,2CF52CF0,Synthetic Condensate 000015
P26599,60F74988,Synthetic Condensate 000004
D0PV95,0CEEA3E8,Synthetic Condensate 000006
G5EDE7,1E117272,Centrosome
P91870,1E117272,Centrosome
Q9XU12,1E117272,Centrosome
G5ED39,1E117272,Centrosome
G5ECG0,1E117272,Centrosome
Q9XW79,1E117272,Centrosome
P91349,1E117272,Centrosome
G5EEM5,1E117272,Centrosome
Q95QJ7,1E117272,Centrosome
Q9NDC9,1E117272,Centrosome
Q8WT44,1E117272,Centrosome
Q94131,1E117272,Centrosome
P34690,1E117272,Centrosome
Q9XVW6,1E117272,Centrosome
O44548,1E117272,Centrosome
Q03605,1E117272,Centrosome
G5EFV3,1E117272,Centrosome
Q21215,1E117272,Centrosome
P45970,1E117272,Centrosome
Q9GT24,1E117272,Centrosome
Q03569,1E117272,Centrosome
G5EBX0,1E117272,Centrosome
O02217,1E117272,Centrosome
P34808,1E117272,Centrosome
C5MKY7,74574544,Synthetic Condensate 000020
P23804,2E092FC3,PML body
O35613,2E092FC3,PML body
Q8LGS1,24475C75,Stress granule
Q0WW84,24475C75,Stress granule
O23252,24475C75,Stress granule
Q9FLT0,24475C75,Stress granule
Q3MK94,24475C75,Stress granule
O82307,24475C75,Stress granule
Q9SLB9,24475C75,Stress granule
Q9SX79,24475C75,Stress granule
Q9FKW2,24475C75,Stress granule
A0A654EPD5,24475C75,Stress granule
Q944A2,24475C75,Stress granule
Q9SJ41,24475C75,Stress granule
O04379,24475C75,Stress granule
P00519,1CD3856C,Synthetic Condensate 000003
Q8L4A7,24475C75,Stress granule
Q92973,9A9D7F4D,Synthetic Condensate 000014
Q9BQA5,24B72B50,Histone Locus Body
Q14207,24B72B50,Histone Locus Body
P49711,24B72B50,Histone Locus Body
Q10570,24B72B50,Histone Locus Body
Q9UKL3,24B72B50,Histone Locus Body
Q16637,91E14AE1,U-body
P31483,1855AB2E,Synthetic Condensate 000027
P35637,2CF52CF0,Synthetic Condensate 000015
Q9UKF6,24B72B50,Histone Locus Body
P35637,B8725CFA,Synthetic Condensate 000007
Q01844,B8725CFA,Synthetic Condensate 000007
Q9U2F5,9DA71F79,Stress granule
Q23529,1E117272,Centrosome
Q61686,2E092FC3,PML body
P09922,2E092FC3,PML body
Q9JKK8,2E092FC3,PML body
Q9JJ48,2E092FC3,PML body
Q17353,1E117272,Centrosome
D0PV95,74574544,Synthetic Condensate 000020
Q21351,9DA71F79,Stress granule
P32588,60893955,Synthetic Condensate 000005
Q9UPQ9,F85A2E29,IMP1 RNP granule
P43297,24475C75,Stress granule
Q9V727,58FDC23F,PcG body
P35820,58FDC23F,PcG body
Q24338,58FDC23F,PcG body
P42124,58FDC23F,PcG body
P39769,58FDC23F,PcG body
Q9W363,58FDC23F,PcG body
P09077,58FDC23F,PcG body
Q9VB08,58FDC23F,PcG body
Q7KJA9,58FDC23F,PcG body
Q24459,58FDC23F,PcG body
P17917,58FDC23F,PcG body
Q7K5N4,58FDC23F,PcG body
P26017,58FDC23F,PcG body
Q9NJG9,58FDC23F,PcG body
O76906,58FDC23F,PcG body
Q92945,F659AEC6,Pericentriolar compartment
P09651-2,832870F1,Synthetic Condensate 000010
C5MKY7,832870F1,Synthetic Condensate 000010
Q9UKV8,278829DE,Chromatoid body
Q9NPI6,278829DE,Chromatoid body
Q9SRE6,24475C75,Stress granule
D3KYQ3,4133D0F7,Nuclear pore complex
P35637,9A9D7F4D,Synthetic Condensate 000014
Q75E28,37C8BA2F,Synthetic Condensate 000012
X5DSL3,0CEEA3E8,Synthetic Condensate 000006
O43390,F85A2E29,IMP1 RNP granule
P0DMV9,F85A2E29,IMP1 RNP granule
Q8ST83,58FDC23F,PcG body
P35637,60F74988,Synthetic Condensate 000004
P35637,1422620B,Synthetic Condensate 000017
Q80Z37,2E092FC3,PML body
P39936,26E28FFB,Synthetic Condensate 000009
Q9U2F5,1C3173BF,TIAR2 neuronal granule
Q14676,A0DCDA94,DNA damage foci
Q12888,A0DCDA94,DNA damage foci
Q16533,A0DCDA94,DNA damage foci
Q06609,A0DCDA94,DNA damage foci
Q13315,A0DCDA94,DNA damage foci
Q13535,A0DCDA94,DNA damage foci
P78527,A0DCDA94,DNA damage foci
P35637,A0DCDA94,DNA damage foci
Q92966,A0DCDA94,DNA damage foci
P16104,A0DCDA94,DNA damage foci
Q8IUH3,A0DCDA94,DNA damage foci
Q92878,A0DCDA94,DNA damage foci
Q13547,A0DCDA94,DNA damage foci
Q96B01,A0DCDA94,DNA damage foci
P35637,6DA31C6B,Synthetic Condensate 000011
P24928,6DA31C6B,Synthetic Condensate 000011
A0A024RB53,943B2789,Synthetic Condensate 000008
P09651-2,60893955,Synthetic Condensate 000005
Q9W517,58FDC23F,PcG body
P26599,1855AB2E,Synthetic Condensate 000027
P11940,F85A2E29,IMP1 RNP granule
Q9NZI8,F85A2E29,IMP1 RNP granule
P11308,F85A2E29,IMP1 RNP granule
Q9UPY3,278829DE,Chromatoid body
Q6UN15,24B72B50,Histone Locus Body
Q9P2I0,24B72B50,Histone Locus Body
P26599,9D926880,Synthetic Condensate 000034
P40070,99286EFB,Synthetic Condensate 000038
P16333,041D4500,Synthetic Condensate 000036
P09651-2,9568789E,Synthetic Condensate 000022
P35637,9568789E,Synthetic Condensate 000022
P0DMV8,F85A2E29,IMP1 RNP granule
O75791,1070A586,Synthetic Condensate 000045
P23128,19A54EA0,Sponge body
Q8IP90,19A54EA0,Sponge body
P28750,19A54EA0,Sponge body
A1Z6E0,19A54EA0,Sponge body
Q5U127,19A54EA0,Sponge body
Q95RE4,19A54EA0,Sponge body
Q9VMA3,19A54EA0,Sponge body
Q9W1H5,19A54EA0,Sponge body
Q9VSR3,19A54EA0,Sponge body
P42731,60F64496,P-body
Q8GW31,60F64496,P-body
Q9FPW4,60F64496,P-body
Q92833,F701F3BC,PcG body
P39936,BD836276,Synthetic Condensate 000030
P00519,7ADEF05E,Synthetic Condensate 000039
O08816,28618213,Synthetic Condensate 000040
P06748,CBF57B02,Synthetic Condensate 000043
A0A0D9REQ6,604353D6,Stress granule
P08985,49BCF3D0,Histone Locus Body
A1Z8C4,49BCF3D0,Histone Locus Body
P26599,67BDA0FF,Synthetic Condensate 000032
Q24009,19A54EA0,Sponge body
P16333,7ADEF05E,Synthetic Condensate 000039
P25159,19A54EA0,Sponge body
P16333,28618213,Synthetic Condensate 000040
Q3LHL9,49BCF3D0,Histone Locus Body
P35637,D8E9712B,Neuronal RNP granule
Q9W363,49BCF3D0,Histone Locus Body
P26599,31BA30E7,Synthetic Condensate 000023
P09651-2,F4417166,Synthetic Condensate 000019
P48809,19A54EA0,Sponge body
Q9VHG5,5A480847,Insulator body
Q9W4V9,5A480847,Insulator body
P32588,22369FCF,Synthetic Condensate 000029
Q9VHG6,5A480847,Insulator body
Q92804-2,2857FDAA,Synthetic Condensate 000028
P62241,F85A2E29,IMP1 RNP granule
Q08211,F85A2E29,IMP1 RNP granule
P43297,60F64496,P-body
Q8LGS1,60F64496,P-body
Q9SL49,60F64496,P-body
Q9S814,60F64496,P-body
Q9FQ04,60F64496,P-body
Q9FLT0,60F64496,P-body
O04379,60F64496,P-body
O82307,60F64496,P-body
Q9SLB9,60F64496,P-body
Q9C658,60F64496,P-body
O22173,60F64496,P-body
Q9FKW2,60F64496,P-body
A0A178V3U6,60F64496,P-body
A0A1I9LSB9,60F64496,P-body
A0A654EPD5,60F64496,P-body
P40070,2F09078B,Synthetic Condensate 000024
P26599,2F09078B,Synthetic Condensate 000024
P35637,67BDA0FF,Synthetic Condensate 000032
P50995,D8E9712B,Neuronal RNP granule
Q93062,D8E9712B,Neuronal RNP granule
Q9BQ52,F701F3BC,PcG body
P16333,1070A586,Synthetic Condensate 000045
Q22053,CB5A3F31,Synthetic Condensate 000041
P35637,95FADA74,Synthetic Condensate 000026
P31483,1249081A,Synthetic Condensate 000025
P35637,2857FDAA,Synthetic Condensate 000028
O75683,CBF57B02,Synthetic Condensate 000043
P32588,6F314257,Synthetic Condensate 000035
P00519,041D4500,Synthetic Condensate 000036
A0A1D5PQ11,3E806696,Stress granule
Q8IGP5,5A480847,Insulator body
P08970,5A480847,Insulator body
Q9VL52,DB0924F8,Yb-body
A1Z7A8,21DC7D43,Cajal body
Q15233,D8E9712B,Neuronal RNP granule
Q7Z739,D8E9712B,Neuronal RNP granule
Q06787,D8E9712B,Neuronal RNP granule
Q9Y5A9,D8E9712B,Neuronal RNP granule
Q92804,D8E9712B,Neuronal RNP granule
Q13148,D8E9712B,Neuronal RNP granule
Q00994,D8E9712B,Neuronal RNP granule
Q13283,D8E9712B,Neuronal RNP granule
Q17RY0,D8E9712B,Neuronal RNP granule
Q9BYJ9,D8E9712B,Neuronal RNP granule
Q14444,D8E9712B,Neuronal RNP granule
Q9Y224,D8E9712B,Neuronal RNP granule
P39936,CABCA76D,Synthetic Condensate 000018
O74718,7D39771A,Synthetic Condensate 000042
C5MKY7,9D926880,Synthetic Condensate 000034
Q6J5K9,DB0924F8,Yb-body
Q9UHD9,95FADA74,Synthetic Condensate 000026
Q13094,1070A586,Synthetic Condensate 000045
Q6ZN18,F701F3BC,PcG body
P31483,67BDA0FF,Synthetic Condensate 000032
O00257,F701F3BC,PcG body
R4GMX3,F701F3BC,PcG body
Q14781,F701F3BC,PcG body
O43663,F701F3BC,PcG body
O75530,F701F3BC,PcG body
Q8IXK0,F701F3BC,PcG body
P49711,F701F3BC,PcG body
Q14190,F701F3BC,PcG body
Q06587,F701F3BC,PcG body
Q15910,F701F3BC,PcG body
Q9W4W2,DB0924F8,Yb-body
Q9VCU7,DB0924F8,Yb-body
M9NFQ7,21DC7D43,Cajal body
P67809,F85A2E29,IMP1 RNP granule
O43707,F85A2E29,IMP1 RNP granule
P11142,F85A2E29,IMP1 RNP granule
Q13310,F85A2E29,IMP1 RNP granule
P46781,F85A2E29,IMP1 RNP granule
Q14103,F85A2E29,IMP1 RNP granule
P05388,F85A2E29,IMP1 RNP granule
Q09161,F85A2E29,IMP1 RNP granule
P23396,F85A2E29,IMP1 RNP granule
Q99729,F85A2E29,IMP1 RNP granule
P60709,F85A2E29,IMP1 RNP granule
P14866,F85A2E29,IMP1 RNP granule
Q00839,F85A2E29,IMP1 RNP granule
P61247,F85A2E29,IMP1 RNP granule
Q9UKV8,F85A2E29,IMP1 RNP granule
P62701,F85A2E29,IMP1 RNP granule
Q06787,F85A2E29,IMP1 RNP granule
P22626,F85A2E29,IMP1 RNP granule
O60506,F85A2E29,IMP1 RNP granule
Q86U42,F85A2E29,IMP1 RNP granule
P05453,2F7EB6DB,Synthetic Condensate 000037
P26599,22369FCF,Synthetic Condensate 000029
A0A0D9RRJ6,604353D6,Stress granule
Q42404,9A8A194B,Nuclear speckle
A9QM73,60F64496,P-body
Q92973,25CCE98C,Synthetic Condensate 000047
P46777,A3AA02E8,Synthetic Condensate 000061
P04147,6E49930B,Synthetic Condensate 000065
P45973,98A5DA6D,Synthetic Condensate 000066
P10636-8,43F5F736,Synthetic Condensate 000068
Q06787,D83843FA,Synthetic Condensate 000055
Q15020,6F24707C,Cajal body
P52293,D12E4DB9,Stress granule
P26599,CEC93CD4,Synthetic Condensate 000048
Q13148,ED4B3785,Synthetic Condensate 000058
Q9SUC3,60F64496,P-body
P32588,33BF1E0E,Synthetic Condensate 000053
P62750,6AB35885,Synthetic Condensate 000052
P35637,CEC93CD4,Synthetic Condensate 000048
P06748,71F78BB1,Synthetic Condensate 000049
P39936,CEC93CD4,Synthetic Condensate 000048
Q92793,6F24707C,Cajal body
Q9Y4X5,6F24707C,Cajal body
Q9Y230,6F24707C,Cajal body
Q6NT76,6F24707C,Cajal body
Q8N5A5,6F24707C,Cajal body
Q14207,6F24707C,Cajal body
Q8IYM9,6F24707C,Cajal body
Q96RS0,6F24707C,Cajal body
Q96HW7,6F24707C,Cajal body
P35269,6F24707C,Cajal body
Q14331,6F24707C,Cajal body
O95402,6F24707C,Cajal body
P63162,6F24707C,Cajal body
O95453,6F24707C,Cajal body
O14746,6F24707C,Cajal body
Q9H633,6F24707C,Cajal body
Q5W0Q7,6F24707C,Cajal body
O14980,6F24707C,Cajal body
Q9UBY9,6F24707C,Cajal body
P61289,6F24707C,Cajal body
Q14978,6F24707C,Cajal body
P08579,6F24707C,Cajal body
P63267,6F24707C,Cajal body
Q06787,6F24707C,Cajal body
P08621,6F24707C,Cajal body
P63165,6F24707C,Cajal body
Q9H840,6F24707C,Cajal body
Q9NY26,6F24707C,Cajal body
O94906,6F24707C,Cajal body
P17480,6F24707C,Cajal body
Q9UKL3,6F24707C,Cajal body
Q6IQ16,6F24707C,Cajal body
O14893,6F24707C,Cajal body
P62314,6F24707C,Cajal body
P62308,6F24707C,Cajal body
P38432,6F24707C,Cajal body
Q9NPE3,6F24707C,Cajal body
Q13148,6F24707C,Cajal body
P49368,6F24707C,Cajal body
Q9GZU8,6F24707C,Cajal body
O60832,6F24707C,Cajal body
Q8TEQ6,6F24707C,Cajal body
Q9Y2X3,6F24707C,Cajal body
P09661,6F24707C,Cajal body
Q9NRM2,6F24707C,Cajal body
Q9H089,6F24707C,Cajal body
P62304,6F24707C,Cajal body
Q7L014,6F24707C,Cajal body
Q7Z6G8,6F24707C,Cajal body
Q8WXD5,6F24707C,Cajal body
Q86TB9,6F24707C,Cajal body
Q9Y265,6F24707C,Cajal body
Q14011,6F24707C,Cajal body
P62316,6F24707C,Cajal body
Q99986,6F24707C,Cajal body
Q9NWZ8,6F24707C,Cajal body
Q16637,6F24707C,Cajal body
Q96CJ1,6F24707C,Cajal body
Q9H244,6F24707C,Cajal body
Q96GM8,6F24707C,Cajal body
Q9Y3F4,6F24707C,Cajal body
Q9BPY3,6F24707C,Cajal body
Q96JC9,6F24707C,Cajal body
O00567,6F24707C,Cajal body
P22626,85C30F04,Synthetic Condensate 000057
Q13148,85C30F04,Synthetic Condensate 000057
P45973,9F05356D,Synthetic Condensate 000062
P22626,92722620,Synthetic Condensate 000059
P93831,9A8A194B,Nuclear speckle
P35637,6F24707C,Cajal body
P06493,6F24707C,Cajal body
Q8VY74,9A8A194B,Nuclear speckle
Q8RWN5,9A8A194B,Nuclear speckle
Q9SD61,9A8A194B,Nuclear speckle
O22315,9A8A194B,Nuclear speckle
O22703,9A8A194B,Nuclear speckle
Q1PDV2,9A8A194B,Nuclear speckle
Q8L7W3,9A8A194B,Nuclear speckle
Q9XFR5,9A8A194B,Nuclear speckle
O82804,9A8A194B,Nuclear speckle
Q8L3X8,9A8A194B,Nuclear speckle
Q9SY88,9A8A194B,Nuclear speckle
Q9CAN3,9A8A194B,Nuclear speckle
P43254,9A8A194B,Nuclear speckle
F4HVZ5,9A8A194B,Nuclear speckle
Q9LY75,9A8A194B,Nuclear speckle
P06748,A3AA02E8,Synthetic Condensate 000061
P02550,43F5F736,Synthetic Condensate 000068
P02554,43F5F736,Synthetic Condensate 000068
P56959,D12E4DB9,Stress granule
P78352-3,2B18F727,Synthetic Condensate 000056
