Uniprot ID,Gene Name,Name,Biomolecular condensate count,Synthetic condensate count,Species
F4JWP9,GFL,"109 kDa U5 small nuclear ribonucleoprotein component GFL",1,0,Arabidopsis thaliana
R4H6A8,ESA10,"10 kDa excretory-secretory antigen",1,0,Toxoplasma gondii
P61604,HSPE1,"10 kDa heat shock protein, mitochondrial",1,0,Homo sapiens
P61603,HSPE1,"10 kDa heat shock protein, mitochondrial",1,0,Bos taurus
Q6NUG0,hspe1.L,"10 kDa heat shock protein, mitochondrial",1,0,Xenopus laevis
Q9LNC5,CLO,"110 kDa U5 small nuclear ribonucleoprotein component CLO",1,0,Arabidopsis thaliana
Q15029,EFTUD2,"116 kDa U5 small nuclear ribonucleoprotein component",3,0,Homo sapiens
F4JIE1,ATARD2,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",1,0,Arabidopsis thaliana
P38631,FKS1,"1,3-beta-glucan synthase component FKS1",1,0,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P39990,SNU13,"13 kDa ribonucleoprotein-associated protein",1,0,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P48347,GRF10,"14-3-3-like protein GF14 epsilon",1,0,Arabidopsis thaliana
Q06967,GF14F,"14-3-3-like protein GF14-F",1,0,Oryza sativa subsp. japonica
P48349,GRF6,"14-3-3-like protein GF14 lambda",1,0,Arabidopsis thaliana
Q96300,GRF7,"14-3-3-like protein GF14 nu",1,0,Arabidopsis thaliana
Q01525,GRF2,"14-3-3-like protein GF14 omega",1,0,Arabidopsis thaliana
P42644,GRF3,"14-3-3-like protein GF14 psi",1,0,Arabidopsis thaliana
P42645,GRF5,"14-3-3-like protein GF14 upsilon",1,0,Arabidopsis thaliana
Q9CQV8,Ywhab,"14-3-3 protein beta/alpha",1,0,Mus musculus
P31946,YWHAB,"14-3-3 protein beta/alpha",2,0,Homo sapiens
P62258,YWHAE,"14-3-3 protein epsilon",4,0,Homo sapiens
P62259,Ywhae,"14-3-3 protein epsilon",1,0,Mus musculus
P68510,Ywhah,"14-3-3 protein eta",1,0,Mus musculus
Q04917,YWHAH,"14-3-3 protein eta",2,0,Homo sapiens
P61982,Ywhag,"14-3-3 protein gamma",1,0,Mus musculus
